4,4,12,4,4,4,4,4,4,12,4,4,4,4,4,4,4
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,0,25,2,25,0,0,0,0,0,0,0,0,0,14,0,4
4,0,2,7,2,2,2,2,2,2,2,2,2,0,0,0,4
4,0,25,2,25,0,0,0,0,0,0,0,2,0,14,0,4
4,0,0,0,0,0,14,14,0,14,14,0,2,0,14,0,4
4,0,14,0,0,0,0,0,0,0,0,0,2,0,14,0,4
4,0,14,0,2,2,2,2,2,2,2,2,2,0,0,0,4
4,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,4
4,0,14,0,2,2,2,2,2,2,2,2,2,0,0,0,4
4,0,14,0,0,0,0,0,0,0,0,0,2,0,14,0,4
4,0,0,0,0,0,14,14,0,14,14,0,2,0,14,0,4
4,0,25,2,25,0,0,0,0,0,0,0,2,0,14,0,4
4,0,2,8,2,2,2,2,2,2,2,2,2,0,0,0,4
4,0,25,2,25,0,0,0,0,0,0,0,0,0,14,0,4
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
